date,data
2003/01/02,"[0.0933523922764228, 0.037891, 0.04654, 0, 0, 0.063064, 0, 0, 0, 0, 0, 0, 0, 0, 0.104951, 0, 0, 0.127455, 0, 0, 0.155301, 0.16474, 2.162173, 0, 0, 0, 0, 0, 0, 0, 1.518248, 1.41458, 1.666591, 1.49425, 1.019722, 1.122678, 0.0, 23.0]"
2003/01/04,"[0.0933523922764228, 0.290154, 0.358653, 0, 0, 0.48771, 0, 0, 0, 0, 0, 0, 0, 0, 0.660117, 0, 0, 0.728433, 0, 0, 0.776555, 0.781099, 1.159934, 0, 0, 0, 0, 0, 0, 0, 1.047205, 0.659889, 0.95358, 1.106439, 0.478509, 1.122678, 0.0, 7.0]"
2003/01/06,"[0.0933523922764228, 0.095468, 0.119897, 0, 0, 0.167741, 0, 0, 0, 0, 0, 0, 0, 0, 0.278367, 0, 0, 0.335567, 0, 0, 0.392154, 0.440935, 2.018633, 0, 0, 0, 0, 0, 0, 0, 1.539508, 1.329503, 1.638074, 1.534226, 1.065657, 1.122678, 0.0, 4.0]"
2003/01/09,"[0.0933523922764228, 0.074751, 0.088861, 0, 0, 0.119061, 0, 0, 0, 0, 0, 0, 0, 0, 0.18566, 0, 0, 0.223994, 0, 0, 0.264542, 0.281713, 2.52419, 0, 0, 0, 0, 0, 0, 0, 1.363996, 1.290876, 1.490467, 1.323447, 0.891469, 1.122678, 0.0, 3.0]"
2003/01/13,"[0.0933523922764228, 0.338063, 0.437085, 0, 0, 0.629471, 0, 0, 0, 0, 0, 0, 0, 0, 0.91096, 0, 0, 1.032795, 0, 0, 1.151727, 1.199694, 2.052324, 0, 0, 0, 0, 0, 0, 0, 1.303171, 0.86963, 1.208238, 1.364488, 0.606395, 1.122678, 0.0, 9.0]"
2003/01/14,"[0.0933523922764228, 0.213026, 0.269339, 0, 0, 0.375099, 0, 0, 0, 0, 0, 0, 0, 0, 0.531671, 0, 0, 0.597636, 0, 0, 0.658119, 0.673933, 1.740649, 0, 0, 0, 0, 0, 0, 0, 1.182772, 0.768102, 1.108001, 1.237429, 0.476525, 1.122678, 0.0, 3.0]"
2003/01/16,"[0.0933523922764228, 0.18288, 0.231186, 0, 0, 0.328002, 0, 0, 0, 0, 0, 0, 0, 0, 0.487151, 0, 0, 0.561986, 0, 0, 0.64104, 0.678229, 2.126152, 0, 0, 0, 0, 0, 0, 0, 1.314049, 0.983022, 1.271397, 1.353623, 0.731835, 1.122678, 0.0, 17.0]"
2003/01/19,"[0.0933523922764228, 0.589428, 0.762037, 0, 0, 1.079977, 0, 0, 0, 0, 0, 0, 0, 0, 0.48459976230809976, 0, 0, 0.554318369612069, 0, 0, 0.6333750661686236, 0.6794867085620182, 1.621494, 0, 0, 0, 0, 0, 0, 0, 1.377769, 1.1362007126925127, 1.3013590253833969, 1.377769, 1.026563747863247, 1.122678, 0.0, 1.0]"
2003/01/20,"[0.0933523922764228, 0.260304, 0.330895, 0, 0, 0.467059, 0, 0, 0, 0, 0, 0, 0, 0, 0.659767, 0, 0, 0.7397, 0, 0, 0.815659, 0.852593, 1.536007, 0, 0, 0, 0, 0, 0, 0, 1.189191, 0.765894, 1.091865, 1.252184, 0.540075, 1.122678, 0.0, 20.0]"
2003/01/23,"[0.0933523922764228, 0.254871, 0.308508, 0, 0, 0.407482, 0, 0, 0, 0, 0, 0, 0, 0, 0.54334, 0, 0, 0.601079, 0, 0, 0.655395, 0.678303, 0.824033, 0, 0, 0, 0, 0, 0, 0, 0.986813, 0.676106, 0.922538, 1.0289, 0.477231, 1.122678, 0.0, 10.0]"
2003/01/29,"[0.0933523922764228, 0.164624, 0.199332, 0, 0, 0.263793, 0, 0, 0, 0, 0, 0, 0, 0, 0.373669, 0, 0, 0.430344, 0, 0, 0.487196, 0.510378, 1.408287, 0, 0, 0, 0, 0, 0, 0, 1.137639, 0.952199, 1.151148, 1.14255, 0.662883, 1.122678, 0.0, 15.0]"
2003/01/30,"[0.0933523922764228, 0.10349, 0.131146, 0, 0, 0.188859, 0, 0, 0, 0, 0, 0, 0, 0, 0.301707, 0, 0, 0.361237, 0, 0, 0.430721, 0.469115, 1.874171, 0, 0, 0, 0, 0, 0, 0, 1.512079, 1.287272, 1.537239, 1.525068, 1.024189, 1.122678, 0.0, 35.0]"
2003/01/31,"[0.0933523922764228, 0.159225, 0.205489, 0, 0, 0.30876, 0, 0, 0, 0, 0, 0, 0, 0, 0.496013, 0, 0, 0.591576, 0, 0, 0.702786, 0.753912, 1.835263, 0, 0, 0, 0, 0, 0, 0, 1.559371, 1.24744, 1.531124, 1.595101, 0.998608, 1.122678, 0.0, 38.0]"
2003/02/01,"[0.0933523922764228, 0.383231, 0.486476, 0, 0, 0.703088, 0, 0, 0, 0, 0, 0, 0, 0, 1.032255, 0, 0, 1.187803, 0, 0, 1.330551, 1.665669, 2.333937, 0, 0, 0, 0, 0, 0, 0, 1.315512, 0.915378, 1.241204, 1.364049, 0.721364, 1.122678, 0.0, 2.0]"
2003/02/06,"[0.0933523922764228, 0.127992, 0.150668, 0, 0, 0.201767, 0, 0, 0, 0, 0, 0, 0, 0, 0.297297, 0, 0, 0.34842, 0, 0, 0.410675, 0.436961, 2.10147, 0, 0, 0, 0, 0, 0, 0, 1.255804, 1.132009, 1.310549, 1.252316, 0.885639, 1.122678, 0.0, 13.0]"
2003/02/07,"[0.0933523922764228, 0.107958, 0.14139, 0, 0, 0.208533, 0, 0, 0, 0, 0, 0, 0, 0, 0.326295, 0, 0, 0.383992, 0, 0, 0.446291, 0.471608, 2.219918, 0, 0, 0, 0, 0, 0, 0, 1.461066, 1.088202, 1.42166, 1.503284, 0.759367, 1.122678, 0.0, 12.0]"
2003/02/09,"[0.0933523922764228, 0.162917, 0.208043, 0, 0, 0.301324, 0, 0, 0, 0, 0, 0, 0, 0, 0.464949, 0, 0, 0.550046, 0, 0, 0.653443, 0.708075, 2.493218, 0, 0, 0, 0, 0, 0, 0, 1.524286, 1.374125, 1.543183, 1.535191, 1.098338, 1.122678, 0.0, 6.0]"
2003/02/10,"[0.0933523922764228, 0.19992, 0.255693, 0, 0, 0.365532, 0, 0, 0, 0, 0, 0, 0, 0, 0.538238, 0, 0, 0.622063, 0, 0, 0.712884, 0.739117, 1.805136, 0, 0, 0, 0, 0, 0, 0, 1.322743, 1.029762, 1.271729, 1.359926, 0.803193, 1.122678, 0.0, 18.0]"
2003/02/18,"[0.0933523922764228, 0.366986, 0.470454, 0, 0, 0.666426, 0, 0, 0, 0, 0, 0, 0, 0, 0.934367, 0, 0, 1.039444, 0, 0, 1.148843, 1.19496, 2.41122, 0, 0, 0, 0, 0, 0, 0, 1.175366, 0.734062, 1.060421, 1.248065, 0.543308, 1.122678, 0.0, 9.0]"
2003/02/20,"[0.0933523922764228, 0.171058, 0.214289, 0, 0, 0.299325, 0, 0, 0, 0, 0, 0, 0, 0, 0.429401, 0, 0, 0.488255, 0, 0, 0.545913, 0.573982, 1.043209, 0, 0, 0, 0, 0, 0, 0, 1.224299, 0.879029, 1.168281, 1.266921, 0.620404, 1.122678, 0.0, 30.0]"
